2022-05-20 04:28:36,779 p=102868 u=root n=ansible | PLAY [Configuring Master] *****************************************************************************************************
2022-05-20 04:28:36,799 p=102868 u=root n=ansible | TASK [Gathering Facts] ********************************************************************************************************
2022-05-20 04:28:50,233 p=102868 u=root n=ansible | ok: [54.91.216.51]
2022-05-20 04:28:50,242 p=102868 u=root n=ansible | TASK [k8s_master : Install docker] ********************************************************************************************
2022-05-20 04:28:50,272 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,278 p=102868 u=root n=ansible | TASK [k8s_master : Update docker driver to systemd] ***************************************************************************
2022-05-20 04:28:50,306 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,315 p=102868 u=root n=ansible | TASK [k8s_master : Start and Enable docker] ***********************************************************************************
2022-05-20 04:28:50,374 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,381 p=102868 u=root n=ansible | TASK [k8s_master : Configure yum for kubernetes on Amazon Linux2] *************************************************************
2022-05-20 04:28:50,414 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,419 p=102868 u=root n=ansible | TASK [k8s_master : Install kubelet, kubeadm and kubectl packages] *************************************************************
2022-05-20 04:28:50,452 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,457 p=102868 u=root n=ansible | TASK [k8s_master : Enable kubelet] ********************************************************************************************
2022-05-20 04:28:50,488 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,495 p=102868 u=root n=ansible | TASK [k8s_master : Pull the kubernetes service images - kubeadm] **************************************************************
2022-05-20 04:28:50,531 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,536 p=102868 u=root n=ansible | TASK [k8s_master : Install iproute-tc package] ********************************************************************************
2022-05-20 04:28:50,576 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,582 p=102868 u=root n=ansible | TASK [k8s_master : Edit /etc/sysctl.conf file] ********************************************************************************
2022-05-20 04:28:50,617 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,624 p=102868 u=root n=ansible | TASK [k8s_master : Initialize the Kubernetes Master - kubeadm init] ***********************************************************
2022-05-20 04:28:50,667 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,673 p=102868 u=root n=ansible | TASK [k8s_master : Create /.kube directory] ***********************************************************************************
2022-05-20 04:28:50,716 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,721 p=102868 u=root n=ansible | TASK [k8s_master : Copy kubernetes admin.conf file to /.kube/] ****************************************************************
2022-05-20 04:28:50,763 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,770 p=102868 u=root n=ansible | TASK [k8s_master : Change ownership of /.kube/config] *************************************************************************
2022-05-20 04:28:50,815 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,821 p=102868 u=root n=ansible | TASK [k8s_master : Applying AddOns] *******************************************************************************************
2022-05-20 04:28:50,865 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,870 p=102868 u=root n=ansible | TASK [k8s_master : Create a token to join the slave nodes] ********************************************************************
2022-05-20 04:28:50,915 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,922 p=102868 u=root n=ansible | TASK [k8s_master : Print the command to join the slave nodes] *****************************************************************
2022-05-20 04:28:50,969 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:50,975 p=102868 u=root n=ansible | TASK [k8s_master : Configure yum for docker] **********************************************************************************
2022-05-20 04:28:51,018 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,024 p=102868 u=root n=ansible | TASK [k8s_master : Install docker on RedHat] **********************************************************************************
2022-05-20 04:28:51,065 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,072 p=102868 u=root n=ansible | TASK [k8s_master : Install Python] ********************************************************************************************
2022-05-20 04:28:51,116 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,122 p=102868 u=root n=ansible | TASK [k8s_master : Install Docker sdk for python] *****************************************************************************
2022-05-20 04:28:51,167 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,174 p=102868 u=root n=ansible | TASK [k8s_master : Create /etc/docker directory] ******************************************************************************
2022-05-20 04:28:51,232 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,239 p=102868 u=root n=ansible | TASK [k8s_master : Update docker driver to systemd] ***************************************************************************
2022-05-20 04:28:51,279 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,285 p=102868 u=root n=ansible | TASK [k8s_master : Start and Enable docker] ***********************************************************************************
2022-05-20 04:28:51,323 p=102868 u=root n=ansible | skipping: [54.91.216.51]
2022-05-20 04:28:51,331 p=102868 u=root n=ansible | TASK [k8s_master : Configure yum for kubernetes on RedHat] ********************************************************************
2022-05-20 04:28:51,370 p=102868 u=root n=ansible | skipping: [54.91.216.51]
